,M1_R1,M1_R2,M1_R3,M1_R4,M2a_R1,M2a_R2,M2a_R3,M2a_R4,M2c_R1,M2c_R2,M2c_R3,M2c_R4,Majority protein IDs,UniProt ID,Entry Name,M1_Group,M2a_Group_1,M2c_Group_2,M1vsM2a_log2FC,M1vsM2c_log2FC,M2avsM2c_log2FC,M1vsM2a_p,M1vsM2c_p,M2avsM2c_p,M1vsM2a_FDR,M1vsM2c_FDR,M2avsM2c_FDR
0,1.465232157,1.913731919,2.522692631,1.949291848,1.543002294,1.866165313,1.873593669,1.548615108,1.616193647,0.909913968,1.245581177,1.437484347,sp|P0DPI2|GAL3A_HUMAN,P0DPI2,GAL3A,4,4,4,0.254893043,0.660443854,0.405550811,0.41016212,0.065680784,0.078499278,0.59041133,0.162217998,0.343991162
1,-2.294397755,-1.685343686,-1.54289113,-0.391455539,-1.046023966,-1.085996139,-0.955219362,-1.225779565,-0.781449453,-1.024565597,-0.879013913,-0.910519446,sp|A0AV96|RBM47_HUMAN,A0AV96,RBM47,4,4,4,-0.40026727,-0.579634925,-0.179367656,0.331962873,0.173795063,0.26144379,0.510881747,0.317194245,0.554650286
2,0.281594086,0.233183679,-0.810902858,-1.284034551,0.048595291,0.223829139,-0.072015449,0.40524169,0.384734519,0.267037758,0.163812274,0.36485775,sp|A0AVT1|UBA6_HUMAN,A0AVT1,UBA6,4,4,4,-0.546452579,-0.690150486,-0.143697907,0.195426593,0.107913661,0.412629458,0.36161204,0.227506023,0.694637248
3,-0.748402269,-0.421630792,0.163253549,0.167847082,-1.396802097,-1.108571486,-1.358408598,-0.720152411,-1.685304089,-1.761230933,-1.126424346,-1.122180731,sp|A0FGR8|ESYT2_HUMAN,A0FGR8,ESYT2,4,4,4,0.936250541,1.214051917,0.277801377,0.014919236,0.004304922,0.278275651,0.064724526,0.024364177,0.571517663
4,0.623667058,0.080694459,-1.064004115,-4.130121868,-0.136742986,-0.011487691,0.060446926,0.186437747,-0.364015296,-0.550495247,0.026386943,0.401015223,sp|A0MZ66|SHOT1_HUMAN,A0MZ66,SHOT1,4,4,4,-1.147104615,-1.000664023,0.146440593,0.219235821,0.279777838,0.544569955,0.388696163,0.44172103,0.782622248
5,-1.185467173,-1.482564948,-2.59140656,-2.256650072,0.012919127,-1.327747081,-2.332067618,-1.844324781,-2.82219347,-2.420931872,-2.821755648,-2.536013745,sp|A1A4S6|RHG10_HUMAN,A1A4S6,RHG10,4,2,0,-0.5062171,0.771201496,1.277418596,0.361905691,0.05897788,0.022836454,0.541378509,0.151364942,0.200401986
6,-0.13648109,0.543994561,0.845001455,1.152546579,-0.436889282,-0.027911443,0.214546523,0.743194,-0.748354827,-1.209730256,-0.255045239,0.329059835,sp|A1L0T0|ILVBL_HUMAN,A1L0T0,ILVBL,4,4,4,0.478030427,1.072282998,0.594252571,0.228705275,0.027024763,0.150562824,0.398171759,0.08809667,0.448718536
7,-2.004133604,-3.103281511,-0.767185144,-0.948941402,-2.789829334,-1.881431427,-0.434937088,-3.994154026,-1.832513736,-0.737533286,-2.154814092,-1.588061812,sp|A1X283|SPD2B_HUMAN,A1X283,SPD2B,2,2,3,0.569202553,-0.127654684,-0.696857237,0.475426376,0.81766437,0.348381448,0.647601485,0.890715889,0.636222732
8,-2.792528811,-1.074491827,-2.259192391,-1.408076086,-3.190134551,-4.220767121,-3.57316184,-3.573160667,-2.960845219,-2.931401644,-1.941584671,-3.364195177,sp|A2RRP1|NBAS_HUMAN,A2RRP1,NBAS,3,1,1,1.755733766,0.915934399,-0.839799367,0.00211262,0.072383748,0.038711652,0.017314515,0.172519563,0.249833238
9,-2.058391339,-4.08599929,-0.546030577,-0.263203486,-3.367375714,-3.327837076,-3.492584319,-2.784227806,-3.030483889,-2.077141171,-1.605542552,-0.911694298,sp|A2RUS2|DEND3_HUMAN,A2RUS2,DEND3,2,0,2,1.504600056,0.167809304,-1.336790752,0.07074494,0.838223616,0.012733278,0.182360957,0.903202191,0.153120392
10,-3.943061118,-5.95053165,1.02957724,1.428898901,-0.934433229,-0.791092816,-5.377007386,-4.659271205,-2.089039109,-1.076071883,-4.455009008,-4.809319197,sp|A3KMH1|VWA8_HUMAN,A3KMH1,VWA8,4,2,2,1.081672002,1.248580642,0.16690864,0.550962344,0.454503125,0.900264988,0.706682758,0.606294955,0.960311692
11,-2.563090246,-2.541230011,-0.584543414,-2.889957611,-1.440240191,-0.96003583,-0.673715115,-0.998830771,-1.327168622,-0.954771054,-0.953039932,-0.742028806,sp|A4D1P6|WDR91_HUMAN,A4D1P6,WDR91,3,4,4,-1.126499844,-1.150453217,-0.023953373,0.045894842,0.039342339,0.914515095,0.136282029,0.11206117,0.965645686
12,-1.889134898,-3.145801952,-1.306183472,-2.255068433,-1.424027609,-0.971617212,-1.601825592,-1.779832543,-1.203812863,-1.154809019,-0.91119509,-0.242696257,sp|A5YKK6|CNOT1_HUMAN,A5YKK6,CNOT1,3,3,4,-0.70472145,-1.270918882,-0.566197432,0.11420679,0.013291294,0.071525953,0.252460939,0.054083426,0.331846044
13,-2.903771276,-2.911469343,-3.696544672,-3.898666579,-3.158523557,-2.221781023,-2.573626648,-3.594735495,0.000362346,-1.494629273,-0.610803287,-1.425696434,sp|A6NCE7|MP3B2_HUMAN,A6NCE7,MP3B2,1,0,2,-0.465446287,-2.469921306,-2.004475019,0.263017343,0.000159931,0.001277916,0.436269817,0.002751293,0.038954027
14,-1.534383278,-1.307938353,-3.117311671,-2.455362697,-0.922025093,-1.083124709,-0.81933047,-1.113382158,-1.304645717,-1.000933776,-1.457823751,-1.27853298,sp|A6NDG6|PGP_HUMAN,A6NDG6,PGP,4,4,4,-1.119283392,-0.843264944,0.276018448,0.02122469,0.069010524,0.136631999,0.081050328,0.16793546,0.430613594
15,-4.204626731,-3.977301635,-3.62543443,-3.826164448,-2.753359973,-3.37060268,-3.764674914,-3.636539488,2.481081124,1.709259072,2.543635662,1.829485535,sp|A6NHL2|TBAL3_HUMAN,A6NHL2,TBAL3,0,0,4,-0.527087547,-6.049247159,-5.522159612,0.117128129,3.02E-09,4.68E-08,0.256921079,4.31E-06,0.000162649
16,-3.440151531,-2.206067463,-0.997791906,-1.865381481,-2.626062168,-3.278561929,-1.080141402,-1.982762839,-2.885707398,-1.011868329,-1.056572841,-2.966739262,sp|A6NHR9|SMHD1_HUMAN,A6NHR9,SMHD1,4,2,2,0.114533989,-0.147126138,-0.261660127,0.850632467,0.819436818,0.686893363,0.913739667,0.890970883,0.861801167
17,-0.250808952,0.586221263,0.008091322,-0.331164969,-3.389614276,-3.227315466,-3.443706472,-4.056856867,-2.72998443,-3.72537132,-3.410873697,-3.501441151,sp|A6NK06|IRG1_HUMAN,A6NK06,IRG1,4,0,0,3.532457936,3.345002315,-0.187455621,8.32E-07,1.75E-06,0.512708581,0.000147037,0.000168897,0.7665471
18,-0.329659779,-1.717697175,-2.304040924,-0.623422728,-3.767026017,-2.966603906,-2.869512416,-3.18077937,-3.579239213,-3.732800852,-2.782756953,-3.56998512,sp|A8CG34|P121C_HUMAN,A8CG34,P121C,2,0,0,1.952275275,2.172490383,0.220215107,0.001881493,0.000891446,0.459231007,0.016024974,0.008395052,0.73102508
19,-1.269429608,-1.150961783,-2.601331438,-1.968329258,-3.178232935,-3.458754052,-3.768482136,-3.86091417,-2.648124536,-3.88306811,-2.467575863,-3.598540738,sp|A8MVS5|HIDE1_HUMAN,A8MVS5,HIDE1,2,0,0,1.819082802,1.40181429,-0.417268511,0.000722117,0.010852797,0.267386932,0.008200508,0.046596596,0.561331937
20,-0.445538659,-0.570461074,-0.3186233,-1.272736495,-0.203394505,-0.943509519,0.374764664,-0.158241757,-0.206761653,-2.327959062,-1.991314093,-0.927351504,sp|P62308|RUXG_HUMAN,P62308,RUXG,4,4,4,-0.419244603,0.711506696,1.130751299,0.26795717,0.169275456,0.049753257,0.440677315,0.31172878,0.281453159
21,2.040237278,2.044749836,1.741902128,1.687192925,0.73804843,0.831664129,0.339516855,0.785530452,1.706093338,1.468412284,1.114203899,1.488903973,sp|B0I1T2|MYO1G_HUMAN,B0I1T2,MYO1G,4,4,4,1.204830575,0.434117168,-0.770713407,0.00097779,0.143044835,0.003951138,0.010082553,0.276002666,0.082774207
22,-3.379082227,-3.785935317,-3.554489528,-3.231184089,-1.328335757,0.817745823,-0.445428236,-0.651283342,1.309475936,0.03202749,1.051923407,-0.840965157,sp|B1ANS9|WDR64_HUMAN,B1ANS9,WDR64,0,2,3,-3.085847412,-3.87578821,-0.789940797,3.94E-05,8.25E-06,0.21085132,0.001304469,0.000462374,0.514325881
23,-1.866808237,-1.84038774,-2.236969072,-0.416115586,-0.558009786,-2.295217227,-1.139163824,-1.001475824,-3.156736896,-2.020257272,-3.27361486,-1.131869875,sp|C4AMC7|WASH3_HUMAN,C4AMC7,WASH3,3,4,1,-0.341603493,0.805549567,1.14715306,0.501635552,0.179979712,0.069437755,0.667375016,0.325067308,0.32875634
24,-2.985863574,-3.451404668,-2.8191572,-4.233208032,-1.163740437,-1.695187789,-1.503607355,-2.133629042,-3.815053916,-2.943051882,-3.192720883,-2.286130005,sp|O43374|RASL2_HUMAN,O43374,RASL2,1,2,1,-1.748367213,-0.313169197,1.435198016,0.001005502,0.478153041,0.002981043,0.010246688,0.625794805,0.068892283
25,1.176571447,0.959891301,-0.024500267,-0.55644325,0.842257678,1.810682756,1.335325857,1.557689274,0.423842478,0.240010852,0.823012291,1.315008746,sp|E9PAV3|NACAM_HUMAN,E9PAV3,NACAM,4,4,4,-0.997609083,-0.311588784,0.686020299,0.043403346,0.496704728,0.050036826,0.131039641,0.640463424,0.281453159
26,-1.647539901,-0.696480379,-0.172941193,0.289045881,-0.216241877,-0.66554236,-1.070858698,-0.567657014,-0.835671614,-1.077624513,-0.487817664,-0.583518029,sp|L0R6Q1|S35U4_HUMAN,L0R6Q1,S35U4,4,4,4,0.073096089,0.189179057,0.116082967,0.866812353,0.660412585,0.627489194,0.920366604,0.774791942,0.831726337
27,-1.785189824,-0.84855326,0.158850225,-0.553587579,0.961356194,0.840451828,-0.737175712,0.328077136,1.413986089,0.412949632,0.090092269,0.608776091,sp|O00115|DNS2A_HUMAN,O00115,DNS2A,4,4,4,-1.105297471,-1.38857113,-0.283273659,0.051746713,0.012024258,0.526539289,0.147393301,0.050525147,0.773492079
28,0.684665496,0.603397833,1.531528491,1.333772052,0.200598385,0.230251499,0.480320484,0.693541588,-0.194152077,-0.202472905,0.598284761,0.560569192,sp|O00116|ADAS_HUMAN,O00116,ADAS,4,4,4,0.637162979,0.847783725,0.210620746,0.066476311,0.036166882,0.429191799,0.174739169,0.106328184,0.707514945
29,-2.255643971,-1.592235395,-2.256485815,-3.32830596,-2.896430047,-0.601783518,-0.42544108,-3.022371049,-2.170586182,-3.663108342,-2.783445123,-2.745620611,sp|O00139|KIF2A_HUMAN,O00139,KIF2A,3,2,0,-0.621661362,0.482522279,1.104183641,0.374970755,0.300012302,0.136299221,0.55518678,0.461849065,0.430190548
30,-1.501898912,-1.889227149,-0.98157263,-1.154914329,-0.67385341,-1.577421872,-1.700367638,-1.04383477,-0.300489473,-0.038173673,-0.46334679,-0.422920975,sp|O00142|KITM_HUMAN,O00142,KITM,4,4,4,-0.133033833,-1.075670527,-0.942636695,0.70173343,0.004964572,0.005901177,0.819396395,0.027040578,0.102022831
31,-0.840517726,0.03239807,-0.559530886,-0.067904169,-0.26614707,0.031035559,-0.380914312,-0.700207479,-0.61546404,-0.531742236,-0.237758197,-0.201820805,sp|O00148|DX39A_HUMAN,O00148,DX39A,4,4,4,-0.029830352,0.037807642,0.067637994,0.924342649,0.9033449,0.750534811,0.953809669,0.941548748,0.898108976
32,-1.866808237,-0.837753102,-0.639346222,-1.080774294,-0.4326108,-1.774540625,-0.212510322,-0.934025375,-3.307113435,-1.37752447,-3.024995825,-2.827828124,sp|O00154|BACH_HUMAN,O00154,BACH,4,4,1,-0.267748684,1.528195,1.795943683,0.535065866,0.008119317,0.005864537,0.694825816,0.038079536,0.101896337
33,1.519728373,1.803986513,2.304528539,2.336938767,0.733314162,1.311353124,1.486052691,1.545701761,1.071573625,0.979482628,1.19102876,1.549449904,sp|O00159|MYO1C_HUMAN,O00159,MYO1C,4,4,4,0.722190114,0.793411819,0.071221705,0.04566609,0.026656423,0.767131094,0.136282029,0.087635828,0.905496111
34,1.317368427,1.475792188,1.615740486,1.473703753,1.316874923,1.73892195,1.380663511,1.770795204,1.659370135,1.39854158,1.431164624,1.868589864,sp|O00160|MYO1F_HUMAN,O00160,MYO1F,4,4,4,-0.081162684,-0.118765337,-0.037602654,0.754877605,0.662051687,0.849370153,0.852241611,0.776190828,0.943381141
35,0.000650965,-0.180718535,-0.000317956,0.495748125,-0.342239575,-0.352662665,0.066714015,-0.380506157,-0.53576247,-0.842302244,0.016107438,0.134630854,sp|O00161|SNP23_HUMAN,O00161,SNP23,4,4,4,0.331014245,0.385672255,0.05465801,0.250001338,0.261097553,0.835049177,0.421520936,0.421418485,0.93606319
36,-0.384572038,0.057816144,-2.188441893,-1.115780788,-0.846627645,-0.467335264,-0.726599179,-0.690381317,-1.069756831,-1.604659205,-1.383909578,-0.22935193,sp|O00170|AIP_HUMAN,O00170,AIP,3,4,4,-0.225008793,0.164174742,0.389183535,0.632255574,0.754002112,0.22533717,0.769126118,0.84060229,0.526241039
37,-1.250480455,-0.247152336,-1.482148714,-1.568081179,-2.627789354,-1.40406398,-3.161322139,-4.61499243,-3.425647727,-3.578288344,-3.481027308,-1.746598194,sp|O00178|GTPB1_HUMAN,O00178,GTPB1,2,1,1,1.815076305,1.920924722,0.105848418,0.016047131,0.002559717,0.881804558,0.067428995,0.016975223,0.954858229
38,2.199549163,2.277109441,3.035156845,2.958249022,0.706738165,0.759531833,1.638264704,1.356836699,0.822067538,0.549003153,1.580528209,1.601247872,sp|O00182|LEG9_HUMAN,O00182,LEG9,4,4,4,1.502173268,1.479304425,-0.022868843,0.001436007,0.002270621,0.945999939,0.013063153,0.01578015,0.976343863
39,-0.712912384,-0.319918725,0.171048651,0.461809302,-0.465136703,-0.277339171,-0.343532665,-0.05493219,-0.544431859,-0.957170436,-0.055242957,0.005585875,sp|O00186|STXB3_HUMAN,O00186,STXB3,4,4,4,0.185241893,0.287821555,0.102579662,0.571101943,0.446093823,0.686938271,0.724034751,0.598292564,0.861801167
40,0.300049362,-0.14805628,-0.892244206,-0.621295611,-0.041099667,0.068294659,0.070567405,0.134015135,-0.051750059,0.069238707,0.317988968,0.423561488,sp|O00203|AP3B1_HUMAN,O00203,AP3B1,4,4,4,-0.398331067,-0.53014646,-0.131815393,0.230698591,0.139408661,0.450244782,0.400438363,0.270186892,0.722345622
41,-3.811934592,-3.249835062,-3.275499556,-3.513255059,-3.362413405,-3.974742736,-4.265227789,-4.125184245,-3.129167539,-2.851199999,-2.683135781,-1.441839529,sp|O00214|LEG8_HUMAN,O00214,LEG8,1,1,3,0.469260977,-0.936295355,-1.405556332,0.146401114,0.038345252,0.005970912,0.300277799,0.110463463,0.102717425
42,-0.950446511,-0.396381097,0.021943033,-0.504047672,-0.983873433,-0.418281509,-0.987038265,-0.892238821,-1.014266167,-1.374037305,-1.126024537,-1.338972722,sp|O00217|NDUS8_HUMAN,O00217,NDUS8,4,3,4,0.363124945,0.756092121,0.392967176,0.253236599,0.029371604,0.073198522,0.425324882,0.093186296,0.334232512
43,-1.268992448,-1.515354053,-1.192164765,-0.214794788,0.214658315,-1.581608049,-0.902773516,-1.864236083,-3.564458541,-3.167632164,-4.00431934,-2.888364455,sp|O00221|IKBE_HUMAN,O00221,IKBE,2,2,0,-0.01433668,2.358367112,2.372703792,0.977141125,0.000103308,0.000812881,0.984507222,0.002202428,0.03005065
44,1.303151192,1.243565661,1.007228196,0.885939146,0.912791349,1.312800999,1.152649851,1.340906157,1.022736325,0.938320572,0.975820908,1.182088055,sp|O00231|PSD11_HUMAN,O00231,PSD11,4,4,4,-0.06981604,0.080229584,0.150045624,0.789747184,0.763995486,0.387763757,0.874560696,0.847844084,0.675428098
45,0.113105526,-0.023967191,-0.164480983,-0.005944081,-0.161778675,0.090609035,0.683651457,0.175267326,0.020565738,0.007734379,0.043718923,0.142961814,sp|O00232|PSD12_HUMAN,O00232,PSD12,4,4,4,-0.217258968,-0.074066896,0.143192072,0.445145696,0.773220489,0.501137254,0.621534198,0.854907565,0.757811993
46,0.397755278,-0.476620436,-2.069813235,0.184637048,-0.642842732,-0.084163705,0.02445548,0.031598309,-0.359352125,-0.623638002,-1.232977176,-0.095129709,sp|O00233|PSMD9_HUMAN,O00233,PSMD9,3,4,4,-0.323272174,0.086763917,0.410036091,0.543739281,0.87377774,0.182762765,0.702153104,0.924315874,0.480365155
47,-0.492545525,-1.97060228,-3.62455124,-4.31153813,-0.953138092,-0.902874844,-0.039699768,-2.205585207,0.004805911,-0.503838529,-0.003575501,-0.196109198,sp|O00244|ATOX1_HUMAN,O00244,ATOX1,1,3,2,-1.574484816,-2.425129965,-0.850645149,0.07790857,0.006883083,0.073034368,0.19491165,0.034365969,0.334232512
48,0.257632892,-0.017675902,1.313360306,0.85924256,-1.185541033,0.341254802,-0.152701091,0.20167099,1.441416043,-1.822105002,1.841084238,0.465931974,sp|O00264|PGRC1_HUMAN,O00264,PGRC1,4,3,3,0.801969047,0.121558151,-0.680410896,0.091696121,0.869397488,0.400781239,0.218249328,0.922208873,0.689462775
49,0.186049218,-1.448458106,-2.508028874,-1.817704359,0.192833956,-0.445952695,-2.912756294,-0.060863224,-1.476084325,-0.97189504,-1.178675914,-1.734179222,sp|O00267|SPT5H_HUMAN,O00267,SPT5H,4,2,2,-0.590350966,-0.056826905,0.533524061,0.455418208,0.915631145,0.426306199,0.631382597,0.949796486,0.706781508
50,-1.928774719,-4.656131329,-3.852024769,-3.028648531,-1.509984414,-1.298084611,-2.607377116,-1.856343499,-1.132933603,-0.783136479,-1.430353809,-1.755274568,sp|O00273|DFFA_HUMAN,O00273,DFFA,1,3,2,-1.548447427,-2.090970222,-0.542522795,0.021218317,0.003085443,0.137227787,0.081050328,0.019318763,0.431163255
51,-1.337974879,-0.987040946,-0.768383184,-1.480755024,-0.75332896,-2.054196788,-3.009424002,-0.857134436,-1.74577338,-0.233970672,-1.233220532,-2.462280124,sp|O00291|HIP1_HUMAN,O00291,HIP1,3,2,3,0.524982538,0.275272668,-0.24970987,0.318245772,0.559679653,0.697135508,0.495476728,0.693953503,0.868296017
52,4.428913367,4.384353967,3.176809055,3.150164463,4.73738585,5.006794402,4.312279654,4.603863089,4.75075387,4.795518245,4.77481071,4.695488338,sp|O00299|CLIC1_HUMAN,O00299,CLIC1,4,4,4,-0.880020536,-0.969082577,-0.089062042,0.045302338,0.026132727,0.638934464,0.135478163,0.086651933,0.836585254
53,1.180137598,0.852659307,-0.316789485,0.123995562,0.914313213,1.072052577,1.023427553,0.862470597,0.540300403,0.351803379,0.616267062,0.811391566,sp|O00303|EIF3F_HUMAN,O00303,EIF3F,4,4,4,-0.50806524,-0.119939857,0.388125383,0.185057657,0.75100324,0.042458556,0.349877778,0.838604196,0.260677529
54,-1.995638643,-4.189709098,-2.945880443,-3.703306308,-2.065991007,-1.868403119,-3.449902019,-1.557410577,-1.668423808,-1.795752705,-2.08838673,-1.598281228,sp|O00329|PK3CD_HUMAN,O00329,PK3CD,1,4,4,-0.973206943,-1.420922506,-0.447715563,0.109939382,0.010572575,0.284082114,0.246345807,0.045639378,0.57726368
55,-2.059099236,-1.33102403,-0.618721147,-0.708364002,-0.717280189,-1.728388052,-1.397852603,-1.474228821,-1.09032745,0.07991392,-1.842414079,-1.867609823,sp|O00330|ODPX_HUMAN,O00330,ODPX,4,4,2,0.150135313,0.000807254,-0.149328059,0.708018639,0.998750365,0.748356378,0.822589358,0.999037857,0.896737384
56,-2.849284226,-2.321306257,-1.88665317,-1.958782946,-3.088598754,-2.591085662,-1.749838113,-0.715067798,-3.45586638,-3.283939047,-2.9591579,-2.695413807,sp|O00400|ACATN_HUMAN,O00400,ACATN,4,2,4,-0.217859068,0.844587633,1.062446702,0.673915425,0.02708066,0.058140049,0.799814243,0.08819615,0.304068765
57,0.349495942,0.231644124,-0.387698158,-0.605874995,0.030874754,0.348863525,0.246965332,0.282962677,-0.179693039,-0.277428169,0.075505037,0.166602047,sp|O00410|IPO5_HUMAN,O00410,IPO5,4,4,4,-0.330524844,-0.049354741,0.281170103,0.296513306,0.878652373,0.138163983,0.472219862,0.926905321,0.432387632
58,-1.337652765,-0.688838105,-0.023387875,-1.151951833,-1.230605496,-1.308339005,-0.784949168,-0.425973653,-1.741982105,-2.346167552,-2.168102377,-1.135684791,sp|O00422|SAP18_HUMAN,O00422,SAP18,4,4,4,0.137009186,1.047526562,0.910517376,0.715170665,0.024019543,0.020205967,0.827172881,0.082072676,0.190531146
59,-0.100672129,-0.149001399,-1.642964766,-1.399865349,-0.216658219,0.066378582,-0.145377044,-0.266012459,-0.345232816,-0.128697246,-0.243497559,0.066478728,sp|O00429|DNM1L_HUMAN,O00429,DNM1L,4,4,4,-0.682708625,-0.660388688,0.022319938,0.119306866,0.134237024,0.896261467,0.259931886,0.262843119,0.95890043
60,-1.182619954,-1.170330152,-1.219468789,-0.569444698,-1.64749415,-0.956497921,-1.408466936,-0.76101183,0.453477378,-1.422126898,-1.479155611,-0.995937736,sp|O00442|RTCA_HUMAN,O00442,RTCA,3,4,3,0.157901811,-0.174530182,-0.332431993,0.617725666,0.702574868,0.472368059,0.759048403,0.803785332,0.739738173
61,-4.727503034,-2.849279257,-2.083579438,-1.52301847,-2.491914297,-2.404607749,-2.901363099,-2.179009692,-1.590476229,-2.190852882,-1.989352362,-2.51133954,sp|O00461|GOLI4_HUMAN,O00461,GOLI4,4,4,4,-0.30162134,-0.725339796,-0.423718456,0.632268449,0.264567693,0.124128729,0.769126118,0.424946591,0.414563195
62,-4.201653278,-3.169968089,-3.593795306,-3.644215121,-0.01944862,-0.105152538,-0.90801482,-0.383327223,-0.107817791,-0.218622579,-0.298358763,-1.354678377,sp|O00462|MANBA_HUMAN,O00462,MANBA,0,2,4,-3.298422148,-3.157538571,0.140883578,1.95E-06,6.91E-06,0.67837584,0.000268565,0.000421497,0.859721387
63,-0.337975955,-3.051979506,-0.907503764,-2.35148521,-1.924698178,-1.977746354,-3.474939036,-3.401169709,-2.062682343,-2.103607416,-1.459465303,-0.6440616,sp|O00471|EXOC5_HUMAN,O00471,EXOC5,2,4,3,1.03240221,-0.094781943,-1.127184153,0.141249378,0.87886155,0.047593601,0.293565544,0.926905321,0.27610645
64,-3.896052294,-3.741956252,-3.370804031,-0.811348585,2.035106775,2.022809829,1.960622482,1.713674354,1.54995295,1.307639205,2.439409628,1.649818239,sp|O00483|NDUA4_HUMAN,O00483,NDUA4,1,4,4,-4.888093651,-4.691745296,0.196348355,1.69E-05,2.59E-05,0.464176563,0.000879838,0.000977532,0.734153589
65,-0.250808952,-0.443424973,-1.002130388,-0.635652011,-0.127318706,0.006797306,-0.42276064,-0.24834632,-0.007127977,-0.119245646,0.020039561,0.036718862,sp|O00487|PSDE_HUMAN,O00487,PSDE,4,4,4,-0.385096991,-0.565600281,-0.18050329,0.188618017,0.067808667,0.285204319,0.353978248,0.166174271,0.577892133
66,-1.080589142,-4.106023846,-3.544688532,-3.685764391,-1.378876112,-1.513509644,-0.597135523,-0.603154071,-0.714215093,-1.190469479,-1.783848267,-0.283267311,sp|O00499|BIN1_HUMAN,O00499,BIN1,1,3,4,-2.08109764,-2.111316441,-0.0302188,0.007688869,0.007813797,0.936801597,0.042478251,0.037349305,0.973768726
67,-0.314700375,-0.697276164,-1.308005463,-0.190782716,-0.308121461,-0.471990375,-0.917644207,-0.708531253,0.111831837,-0.055350413,-0.19693103,-0.355445156,sp|O00505|IMA4_HUMAN,O00505,IMA4,4,4,4,-0.026119355,-0.503717489,-0.477598134,0.936916217,0.149429629,0.039154736,0.959394274,0.285312066,0.250520724
68,-2.534752458,-1.532368653,-1.177482677,-2.29489179,-3.037607329,-4.558129218,-3.232186676,-2.973302747,-3.287496302,-2.466084751,-2.675426231,-3.537897032,sp|O00515|LAD1_HUMAN,O00515,LAD1,3,0,0,1.565432598,1.106852184,-0.458580413,0.006378946,0.019717677,0.290027705,0.037443984,0.071194457,0.58223355
69,0.179968874,-0.253883932,-1.469750992,-3.501823731,-3.662805495,-2.225215345,-2.620171586,0.141442756,-1.472123479,-1.840223038,-1.446775575,-1.29756424,sp|O00534|VMA5A_HUMAN,O00534,VMA5A,4,3,4,0.830314973,0.252799138,-0.577515834,0.398188846,0.722038998,0.434429514,0.576784593,0.818234141,0.711424393
70,-2.979601233,-0.965555797,-3.368156864,-0.894840812,-3.457101604,-3.731353528,-2.612651747,-2.748940858,-3.458943214,-2.746048272,-3.791457571,-2.830150553,sp|O00541|PESC_HUMAN,O00541,PESC,2,1,0,1.085473258,1.154611226,0.069137968,0.103913982,0.081316213,0.844589656,0.237722902,0.187756705,0.94008618
71,0.739504751,0.399785587,0.064594766,0.170472086,1.001643701,1.471230512,1.230787612,1.168610354,0.613965242,0.952356301,0.990123684,1.324854073,sp|O00560|SDCB1_HUMAN,O00560,SDCB1,4,4,4,-0.874478748,-0.626735528,0.24774322,0.009276619,0.058638679,0.250153309,0.047652102,0.151052195,0.546718709
72,-1.118638447,-0.911799864,-0.946759322,-0.84250731,-1.716828589,-1.622569479,-1.347374684,-0.876755129,-1.63454674,-2.339660191,-1.783574079,-1.19052273,sp|O00567|NOP56_HUMAN,O00567,NOP56,4,4,4,0.435955735,0.782149699,0.346193964,0.148822839,0.030204418,0.266165566,0.302432378,0.09472956,0.560221286
73,1.19115558,1.532982994,0.866163516,0.910696276,0.902412661,1.128217524,1.595790017,1.544522353,0.853108992,0.621364207,0.710379396,1.291445093,sp|O00571|DDX3X_HUMAN,O00571,DDX3X,4,4,4,-0.167486047,0.25617517,0.423661216,0.578845997,0.40706831,0.104862912,0.731184966,0.56245025,0.388315786
74,-3.39333819,-2.993583909,-1.485702996,-1.349413772,1.263569093,0.836326184,-0.289105182,-0.18079499,2.307312818,0.26131605,0.032706522,0.361291999,sp|O00584|RNT2_HUMAN,O00584,RNT2,2,4,4,-2.713008493,-3.046166564,-0.333158071,0.000755687,0.000648694,0.573783323,0.008471006,0.006872116,0.802876406
75,-2.4243777,-3.335711914,0.031422405,-0.50729474,-2.275789046,-1.968489288,-1.108703216,-3.082955274,-1.17576889,-2.834438936,0.238873007,-2.645158022,sp|O00602|FCN1_HUMAN,O00602,FCN1,2,4,2,0.549993719,0.045132723,-0.504860996,0.476008777,0.959419115,0.499065519,0.647601485,0.975581095,0.755963801
76,-3.780130902,-3.702266092,-3.615931722,-3.034621737,-2.65191661,-2.365730308,-1.600158631,-0.375899847,-2.836836744,-2.837765373,-3.647440205,-3.586425858,sp|O00625|PIR_HUMAN,O00625,PIR,0,2,0,-1.784811264,-0.306120568,1.478690696,0.004395023,0.373487237,0.016156684,0.028493852,0.532248457,0.174088819
77,-2.186820364,-0.358907491,-2.570526197,-1.230761141,0.3655233,-0.852819977,-2.240388567,-2.299129173,-2.98600564,-3.429791646,-3.130116103,-3.285733717,sp|O00626|CCL22_HUMAN,O00626,CCL22,2,2,0,-0.330050194,1.621157979,1.951208173,0.637381364,0.005727642,0.008004286,0.771125147,0.030294604,0.119377228
78,0.694804498,0.745623029,0.579023631,1.363313047,0.7701301,0.888127583,0.676694086,0.622956228,0.543920272,0.94785121,0.840061444,0.616969012,sp|O00629|IMA3_HUMAN,O00629,IMA3,4,4,4,0.106214052,0.108490567,0.002276515,0.705209156,0.716097664,0.989259075,0.820697192,0.813481328,0.99445922
