,M1_R1,M1_R2,M1_R3,M1_R4,M2a_R1,M2a_R2,M2a_R3,M2a_R4,M2c_R1,M2c_R2,M2c_R3,M2c_R4,Majority protein IDs,UniProt ID,Entry Name,M1_Group,M2a_Group_1,M2c_Group_2,M1vsM2a_log2FC,M1vsM2c_log2FC,M2avsM2c_log2FC,M1vsM2a_p,M1vsM2c_p,M2avsM2c_p,M1vsM2a_FDR,M1vsM2c_FDR,M2avsM2c_FDR
1132,-0.72307877,-2.026070398,-1.176029219,0.355688055,-1.329174104,-0.624437373,-2.287913787,-2.64494673,-1.548801926,0.63888777,-1.973253425,-2.474522735,sp|Q6NXS1|IPP2B_HUMAN,Q6NXS1,IPP2B,2,2,2,0.829245415,0.447049996,-0.382195419,0.185784258,0.538042244,0.606743981,0.35067914,0.673537821,0.818491977
1133,0.747623341,0.424734742,-0.553510689,-1.00710113,0.378355376,0.581000802,0.647990675,0.727415981,0.721896349,0.856434841,0.554981706,0.933245439,sp|P41240|CSK_HUMAN,P41240,CSK,4,4,4,-0.680754142,-0.863703017,-0.182948875,0.122566688,0.059894015,0.297272244,0.265205006,0.15292557,0.589347183
1134,0.648810325,0.611402744,0.35076222,-0.088346712,0.226913732,0.530500685,0.599335573,0.800896766,0.241521467,0.633522238,0.30876061,0.553193101,sp|P41250|GARS_HUMAN,P41250,GARS,4,4,4,-0.158754545,-0.05359221,0.105162335,0.586640668,0.855957354,0.587330192,0.739418324,0.913790626,0.80915402
1135,2.835406109,2.731064308,2.685487781,3.221360617,2.696326719,2.796169743,2.792828336,2.750211276,2.616193647,2.711545472,2.721385172,2.526378678,sp|P41252|SYIC_HUMAN,P41252,SYIC,4,4,4,0.109445685,0.224453961,0.115008276,0.670937985,0.416928096,0.438405632,0.797097264,0.571979919,0.714330064
1136,1.8010166,1.313430071,0.321640326,-0.549948642,-0.21860274,0.383778196,2.041243666,1.376156758,0.2344144,-1.302338648,-1.100282633,0.884589136,sp|P41567|EIF1_HUMAN,P41567,EIF1,3,4,2,-0.174109381,1.042439025,1.216548406,0.784457686,0.127144516,0.090013929,0.871480325,0.253341825,0.36574962
1137,-0.846921414,-1.015428184,-1.403679737,-0.718397102,-0.127449179,-0.481085204,-1.076872197,-0.963924867,-0.365016511,-0.333162813,-0.214656698,-0.915260145,sp|P42025|ACTY_HUMAN,P42025,ACTY,4,4,4,-0.333773747,-0.539082568,-0.20530882,0.30992609,0.099426784,0.46144555,0.487106812,0.214283538,0.732564173
1138,-0.264138067,0.420397256,0.457218794,-0.3939128,-3.243227049,-3.049286229,-4.919609118,-2.805771823,-3.41827276,-3.778995168,-3.10801596,-3.024838333,sp|P42081|CD86_HUMAN,P42081,CD86,4,0,0,3.559364851,3.387421851,-0.171943,2.74E-05,1.22E-06,0.714186506,0.001081932,0.000136935,0.878512604
1139,0.323457694,0.22851597,1.260800112,0.207477629,0.442913145,0.680692525,-0.692847056,-1.352243236,0.437178302,-0.625497859,0.403496469,-1.288163629,sp|P42126|ECI1_HUMAN,P42126,ECI1,4,3,4,0.735434007,0.77330953,0.037875523,0.162651346,0.118401987,0.947497206,0.321691631,0.240471598,0.976728802
1140,1.365559114,1.624065283,1.524791956,0.538355782,0.439922464,-0.123396512,0.999580811,0.901104674,-1.236341554,-1.529911138,-0.212532846,0.249171026,sp|P42167|LAP2B_HUMAN,P42167,LAP2B,4,4,4,0.708890174,1.945596662,1.236706488,0.08107152,0.00152715,0.021836479,0.200016271,0.012284367,0.196686983
1141,2.936302043,2.67111139,1.450056268,1.759097332,1.128511228,1.157270739,1.418011967,1.011162056,0.602344484,0.645285801,0.83921598,0.842749859,sp|P42224|STAT1_HUMAN,P42224,STAT1,4,4,4,1.02540276,1.471742727,0.446339966,0.020383269,0.002743236,0.024057381,0.079440079,0.017685987,0.205619147
1142,-0.51158582,-0.720206395,-1.961377158,-1.410638397,-2.208685367,-1.513642949,-1.431360235,-1.670437311,-1.093788892,-1.258435267,-1.560931017,-0.972809525,sp|P42226|STAT6_HUMAN,P42226,STAT6,4,4,4,0.555079523,0.070539233,-0.48454029,0.170812987,0.852130416,0.064752158,0.332162915,0.911811913,0.315848022
1143,1.495451952,1.129033853,-0.567979218,-1.054609423,-0.811194971,-0.343806825,-0.607780539,-0.436648299,-0.618114105,-0.259403672,-0.623424005,-0.241845318,sp|P42229|STA5A_HUMAN,P42229,STA5A,4,4,4,0.800331949,0.686171066,-0.114160883,0.178554772,0.240662359,0.55221302,0.342616141,0.395267086,0.788875812
1144,-0.837250615,-0.725323399,-0.873253322,-0.82505721,-1.32624728,-1.666090482,-0.908434061,-0.61209728,-1.282763333,-1.69417556,-1.337548767,-1.254519357,sp|P42285|MTREX_HUMAN,P42285,MTREX,4,4,4,0.312996139,0.577030618,0.264034479,0.314362118,0.049892601,0.327202012,0.492075839,0.133264249,0.615274345
1145,-0.290106378,-0.344936715,-1.402083559,-2.344850601,-0.842552232,-0.349803837,-0.548024935,-0.235941078,-1.240704711,-0.826185012,-1.291071669,-0.428275554,sp|P42331|RHG25_HUMAN,P42331,RHG25,4,4,4,-0.601413793,-0.148935077,0.452478716,0.223140735,0.76171793,0.101066458,0.393589342,0.8467422,0.383831631
1146,-2.401866065,-2.360709079,-1.767291134,-1.275365386,-2.201415424,-1.250097607,-1.060068109,-1.516930032,-2.292826554,-2.026492879,-2.671369424,-2.074877121,sp|P42356|PI4KA_HUMAN,P42356,PI4KA,4,4,4,-0.444180123,0.315083579,0.759263702,0.258320554,0.377255167,0.025911756,0.431124568,0.535022299,0.211839831
1147,-0.401613534,-0.26585683,-3.777873785,-2.732107236,-0.36198351,-0.023918479,-0.096106838,0.047881602,-0.346111236,-0.306895224,-0.509192981,0.013090777,sp|P42566|EPS15_HUMAN,P42566,EPS15,4,4,4,-1.68583104,-1.50708568,0.17874536,0.0443566,0.0639105,0.349234024,0.13322315,0.159546685,0.637054191
1148,-0.225110267,-0.713920317,-2.005913615,-1.760997852,-0.769365813,-1.362773447,-0.829868613,-1.060286404,-0.838094768,-1.195881403,-1.164188685,-0.604785089,sp|P42574|CASP3_HUMAN,P42574,CASP3,4,4,4,-0.170911944,-0.225748026,-0.054836083,0.692706855,0.606099589,0.803318106,0.813778337,0.733866227,0.925266961
1149,0.943884851,1.229860586,0.653586028,1.011158347,-1.630757233,-0.613183384,1.134484255,1.090375025,-0.328475174,0.255603035,1.054724571,0.080692307,sp|P42677|RS27_HUMAN,P42677,RS27,4,3,2,0.964392787,0.693986268,-0.270406519,0.134827483,0.072280442,0.683788619,0.28395485,0.172519563,0.861145973
1150,1.832785084,2.212348977,2.44014937,2.952680556,2.258410687,2.478067982,2.515644696,2.309421353,1.760968713,1.72694228,2.273964614,1.898725795,sp|P42704|LPPRC_HUMAN,P42704,LPPRC,4,4,4,-0.030895183,0.444340646,0.475235829,0.919871018,0.195359396,0.028482334,0.951468555,0.344606042,0.220508897
1151,1.707606476,1.932468039,3.14383137,2.601990348,1.490045943,1.4483161,1.683304384,1.944484336,1.343277323,0.725973238,1.193085148,1.620092786,sp|P42765|THIM_HUMAN,P42765,THIM,4,4,4,0.704936367,1.125866934,0.420930567,0.077835006,0.014509839,0.102458325,0.19491165,0.05769072,0.386163427
1152,2.710756856,2.312754153,2.010274973,1.984882567,1.57620875,2.005937363,2.846822487,2.674514904,0.517241706,1.536845244,2.141785968,2.266244539,sp|P42766|RL35_HUMAN,P42766,RL35,4,4,4,-0.021203738,0.639137773,0.660341511,0.953456531,0.155773174,0.173085725,0.968506707,0.29307622,0.472147036
1153,0.634652796,0.730223477,-0.371647595,-1.069202643,0.478368806,0.934546833,1.048302222,1.191395904,0.031428435,0.58792492,0.575326707,1.072904998,sp|P42768|WASP_HUMAN,P42768,WASP,4,4,4,-0.932146932,-0.585889756,0.346257176,0.055504223,0.217909461,0.219398175,0.155045962,0.36949107,0.523009499
1154,0.502140675,0.649127647,1.230330991,0.308650005,0.502557049,0.283391128,0.337422878,0.152728799,0.580841706,-1.062492443,-0.608534372,-0.319690304,sp|P42785|PCP_HUMAN,P42785,PCP,4,4,4,0.353537366,1.025031183,0.671493817,0.242853517,0.026819114,0.074738265,0.41409027,0.087777657,0.33775477
1155,-1.662859042,-1.612032998,-2.055549686,-1.700738436,-1.613087396,-1.4083951,-1.170093308,-1.384520664,-1.557496261,-1.546319183,-1.681270199,-1.534111431,sp|P42858|HD_HUMAN,P42858,HD,4,4,4,-0.363770923,-0.177995772,0.185775151,0.183064865,0.506992706,0.271072342,0.347976993,0.649461789,0.565691515
1156,-0.339168755,-2.054123981,0.097108031,-1.698166578,-3.922794187,-3.099600592,-2.67541849,-4.138372221,-2.941001159,-1.204864501,-3.085778574,-4.115149376,sp|P43003|EAA1_HUMAN,P43003,EAA1,3,0,1,2.460458552,1.838110582,-0.62234797,0.001219692,0.019996767,0.3330849,0.011688053,0.071860149,0.620627361
1157,-0.581278903,0.085499666,1.35576807,0.344244144,-0.726166105,-0.411143988,-2.321162948,-2.191780999,-0.097135042,-0.701091856,-1.419189579,-1.869361065,sp|P43007|SATT_HUMAN,P43007,SATT,4,2,2,1.713621754,1.32275263,-0.390869124,0.011774924,0.024417793,0.497468908,0.055594919,0.082944117,0.755552646
1158,0.353358136,0.240441407,-0.583950902,-0.438484287,0.316443345,0.417937718,0.504980845,0.590481283,0.300593481,0.536108289,0.275527958,0.424611492,sp|P43034|LIS1_HUMAN,P43034,LIS1,4,4,4,-0.564619709,-0.491369217,0.073250493,0.090217299,0.143658148,0.64278776,0.216310939,0.276945942,0.839472584
1159,-3.160469474,-1.884163212,-0.940663725,-1.467296185,-1.336361162,-1.745162679,-1.623078036,-2.706992757,-1.864691134,-1.893861416,-1.358734395,-1.578182761,sp|P43155|CACP_HUMAN,P43155,CACP,4,3,4,-0.01024949,-0.189280723,-0.179031232,0.984010389,0.684590612,0.573912228,0.987990784,0.790875125,0.802876406
1160,1.499664203,1.730752946,2.187242778,1.94194721,0.94779693,0.886259592,1.412578278,1.450352728,0.78122166,0.019201449,0.674306445,1.27791127,sp|P43243|MATR3_HUMAN,P43243,MATR3,4,4,4,0.665654902,1.151741578,0.486086676,0.04158788,0.006571466,0.127803784,0.126942895,0.033532812,0.421764625
1161,1.792151617,2.150899949,2.980063704,2.650263458,0.843556248,0.712382389,0.561877811,1.074205653,0.515066607,0.142118161,0.798314536,0.999676647,sp|P43304|GPDM_HUMAN,P43304,GPDM,4,4,4,1.595339157,1.779550695,0.184211538,0.000644114,0.000480125,0.439912826,0.007613249,0.005488271,0.714678387
1162,1.048013519,1.48745002,1.855412783,2.530776692,1.479140232,1.735280547,1.276890002,1.313253505,1.209932792,1.384046691,1.738764358,1.28948441,sp|P43307|SSRA_HUMAN,P43307,SSRA,4,4,4,0.279272182,0.324856191,0.045584009,0.441723537,0.384374446,0.815381214,0.617248888,0.540136173,0.929849427
1163,-2.090867103,-1.430726866,0.278917348,-0.019452424,-0.718852074,-0.428110492,-0.451113123,-0.135140175,-0.521304239,-0.838501755,-0.103878678,-0.002018304,sp|P43353|AL3B1_HUMAN,P43353,AL3B1,4,4,4,-0.382228295,-0.449106517,-0.066878222,0.472785964,0.411892245,0.783169939,0.645659445,0.567310959,0.915102736
1164,1.16383046,0.976794466,-0.006842021,-0.753769332,0.725641863,1.006402261,1.152712529,1.097842232,0.700202071,0.767199802,0.452329808,1.100286258,sp|P43405|KSYK_HUMAN,P43405,KSYK,4,4,4,-0.650646328,-0.410001091,0.240645236,0.161038378,0.370607817,0.24766088,0.319776208,0.529766419,0.544283831
1165,0.302600243,0.215000437,-1.667682686,-1.261733357,0.781188763,0.943896833,0.568188699,1.168126769,-1.34406472,-0.034196586,-0.610843171,0.952688201,sp|P43487|RANG_HUMAN,P43487,RANG,4,4,3,-1.468304107,-0.343849772,1.124454335,0.011502111,0.576588515,0.034935597,0.054788189,0.707860827,0.243271694
1166,3.03899745,3.545805455,2.161837853,1.670690413,1.965582752,2.389777382,1.721793376,2.157284254,3.950498481,4.21598901,2.994886577,3.841412173,sp|P43490|NAMPT_HUMAN,P43490,NAMPT,4,4,4,0.545723352,-1.146363767,-1.692087119,0.224926328,0.031264702,0.000322399,0.395156213,0.096745182,0.018497034
1167,1.277797449,1.181809242,0.782331041,0.232386934,0.804013092,1.142161644,1.157593056,1.269289867,0.662976465,0.914133801,0.773046806,1.514099904,sp|P43686|PRS6B_HUMAN,P43686,PRS6B,4,4,4,-0.224683248,-0.097483078,0.127200171,0.482080424,0.780321671,0.589493458,0.651333388,0.860011991,0.810961903
1168,-0.81383877,0.499672434,1.352373666,0.996619812,-0.902302439,-1.834271844,-0.963700966,-1.166269138,-1.625426985,-1.543156109,-1.394401193,-1.663918115,sp|P43897|EFTS_HUMAN,P43897,EFTS,4,3,4,1.725342882,2.065432386,0.340089504,0.004682534,0.000920843,0.178522744,0.030021779,0.008648454,0.478174359
1169,2.639978163,2.898531183,3.500863266,3.355766336,2.959023225,2.914895606,2.519076527,2.537955937,2.965897603,1.994390655,2.553436063,2.867933049,sp|P45880|VDAC2_HUMAN,P45880,VDAC2,4,4,4,0.366046913,0.503370395,0.137323482,0.242679963,0.165033942,0.59802907,0.413997482,0.305211787,0.81513665
1170,-2.165510708,-1.934336308,-0.501578283,-2.643390065,-2.73778974,-1.967210804,-2.276391143,-2.222901454,-2.55069611,-2.883964604,-2.655326982,-1.56712689,sp|P45954|ACDSB_HUMAN,P45954,ACDSB,4,4,4,0.489869444,0.603074805,0.113205361,0.30197286,0.245470314,0.726365756,0.478720661,0.40179432,0.883558447
1171,1.453879896,1.380066903,-0.040106298,-0.544214267,1.318552058,1.448863489,1.498288019,1.496473323,1.393345482,1.421240841,1.192876158,1.527574835,sp|P45974|UBP5_HUMAN,P45974,UBP5,4,4,4,-0.878137664,-0.82135277,0.056784893,0.087395539,0.107754814,0.716746668,0.211235121,0.227506023,0.879237214
1172,0.085327551,0.168559663,-0.113714945,-0.5133683,-0.744838346,-0.516311642,-0.494547892,-0.62606416,-1.118640789,-0.685529635,-0.640453706,-0.690906669,sp|P46060|RAGP1_HUMAN,P46060,RAGP1,4,4,4,0.502141502,0.690583692,0.18844219,0.086772435,0.036232081,0.303659915,0.21042164,0.106429825,0.595590971
1173,0.321572429,0.220066975,-0.068566453,-0.476541894,-0.11110192,0.169983995,0.405073381,0.238312636,-0.07559083,-0.21487829,-0.123090199,0.178357937,sp|P46063|RECQ1_HUMAN,P46063,RECQ1,4,4,4,-0.176434259,0.05793311,0.234367369,0.547283762,0.845188572,0.222141889,0.704531355,0.907050737,0.525021554
1174,-1.57481083,-1.482276163,-1.19037779,-1.211038833,-2.304414307,-2.374710067,-1.3854943,-1.938184599,-2.591777901,-1.850373824,-1.981469107,-2.215921002,sp|P46087|NOP2_HUMAN,P46087,NOP2,4,4,4,0.636074914,0.795259555,0.15918464,0.061887756,0.019367405,0.574406856,0.166326335,0.070399303,0.803214591
